round,bot1,bot2,score1,score2,apple1,apple2,time
435,1,2,0,1,6,6,22.243
436,1,2,1,0,1,4,12.354
437,1,2,0,1,1,3,19.97
438,1,2,1,0,10,15,58.561
439,1,2,0,1,1,1,4.482
440,1,2,1,0,17,20,63.546
441,1,2,0,1,2,2,9.309
442,1,2,0,1,4,9,22.833
443,1,2,0,1,24,30,110.373
444,1,2,0,1,2,5,15.374
445,1,2,0,1,5,5,27.062
446,1,2,0,1,5,14,40.19
447,1,2,0,1,1,2,4.667
448,1,2,0,1,13,17,67.139
449,1,2,0,1,0,3,6.91
450,1,2,0,1,8,6,25.038
451,1,2,1,0,8,2,21.205
452,1,2,0,1,0,3,5.685
453,1,2,0,1,14,25,83.131
454,1,2,0,1,7,4,20.243
455,1,2,1,0,9,4,24.63
456,1,2,0,1,4,4,14.557
457,1,2,1,0,2,4,13.922
458,1,2,0,1,9,8,38.804
459,1,2,0,1,4,10,25.923
460,1,2,0,1,1,1,6.073
461,1,2,0,1,10,13,60.765
462,1,2,0,1,10,17,50.817
463,1,2,0,1,2,8,19.032
464,1,2,0,1,3,3,12.143
465,1,2,1,0,19,17,73.439
466,1,2,1,0,4,2,15.368
467,1,2,0,1,2,7,15.558
468,1,2,0,1,10,12,40.933
469,1,2,0,1,3,2,10.757
470,1,2,0,1,6,16,38.964
471,1,2,0,1,1,8,19.391
472,1,2,1,0,9,12,48.642
473,1,2,0,1,8,9,36.963
474,1,2,0,1,2,4,10.746
475,1,2,0,1,7,10,46.431
476,1,2,0,1,8,12,39.757
477,1,2,0,1,6,11,33.926
478,1,2,0,1,5,8,26.828
479,1,2,1,0,7,5,16.578
480,1,2,0,1,4,9,28.231
481,1,2,1,0,8,16,44.659
482,1,2,0,1,6,7,16.949
483,1,2,0,1,9,22,44.735
484,1,2,0,1,8,3,18.572
485,1,2,1,0,22,31,137.528
486,1,2,0,1,0,5,10.109
487,1,2,0,1,10,21,64.18
488,1,2,0,1,13,18,58.293
489,1,2,0,1,3,3,13.94
490,1,2,0,1,15,19,56.734
491,1,2,0,1,0,2,7.107
492,1,2,0,1,11,19,70.622
493,1,2,0,1,7,6,37.376
494,1,2,1,0,7,13,40.586
495,1,2,0,1,5,10,31.266
496,1,2,0,1,14,17,60.697
497,1,2,1,0,9,9,41.739
498,1,2,1,0,17,15,56.564
499,1,2,0,1,11,8,40.694
500,1,2,0,1,-1,5,10.705
501,1,2,0,1,7,11,31.285
502,1,2,1,0,8,8,28.472
503,1,2,0,1,0,5,15.739
504,1,2,1,0,5,12,24.415
505,1,2,1,0,5,1,11.714
506,1,2,1,0,13,17,48.827
507,1,2,0,1,9,13,31.309
508,1,2,0,1,7,15,47.361
509,1,2,0,1,8,13,37.794
510,1,2,1,0,5,7,25.869
511,1,2,0,1,6,14,41.555
512,1,2,0,1,3,4,20.791
513,1,2,0,1,5,8,32.397
514,1,2,0,1,8,4,27.436
515,1,2,1,0,9,12,37.72
516,1,2,0,1,1,7,11.697
517,1,2,0,1,5,12,38.171
